Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
282,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3000,2800,24 Apr 2019
283,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,21 Apr 2021
284,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,21 Oct 2020
285,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3100,4100,3600,24 Sep 2020
286,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,4000,5000,4500,16 Dec 2021
287,Coimbatore,Thiruppur,Jowar(Sorghum),Other,FAQ,2400,4000,3500,15 Apr 2020
288,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1502,1502,1502,27 May 2019
289,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1520,1520,1520,20 Dec 2019
290,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1620,3520,3520,12 Jul 2021
291,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,1654,1654,1654,30 Jan 2019
292,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2503,2503,2503,10 Jan 2020
293,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3722,3722,3722,29 Mar 2021
294,Erode,Alangeyam,Jowar(Sorghum),Annigeri,FAQ,2700,2800,2750,27 Apr 2021
295,Coimbatore,Annur,Jowar(Sorghum),Jowar ( White),FAQ,2400,2600,2500,25 Dec 2019
296,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,2430,2550,2500,06 Jan 2020
297,Ariyalur,Ariyalur Market,Jowar(Sorghum),Other,FAQ,3700,4050,4000,25 Feb 2019
298,Coimbatore,Karamadai,Jowar(Sorghum),Other,FAQ,2450,2550,2500,02 Feb 2019
299,Salem,Salem,Jowar(Sorghum),Other,FAQ,2300,2600,2450,10 Nov 2020
300,Madurai,Thirumangalam,Jowar(Sorghum),Red,FAQ,2000,2100,2050,12 Apr 2019
301,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3000,2800,16 May 2019
302,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,20 Jul 2019
303,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2400,3200,2800,27 Mar 2019
304,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,2700,3400,3000,27 May 2020
305,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,02 Sep 2021
306,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,04 Nov 2020
307,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,07 Dec 2020
308,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,17 Aug 2021
309,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,22 Sep 2021
310,Coimbatore,Thiruppur,Jowar(Sorghum),Local,FAQ,3000,4000,3500,24 Nov 2021
311,Madurai,Usilampatty,Jowar(Sorghum),Local,FAQ,3000,3200,3100,08 Jan 2019
312,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2020,2020,2020,30 Sep 2021
313,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,2420,2420,2420,24 Jun 2020
314,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3111,3111,3111,24 Sep 2021
315,Vellore,Vellore,Jowar(Sorghum),Other,FAQ,3180,3180,3180,19 Jan 2021
